Serial No,Car Brand,Model Year,Fuel Type,Transmission,Mileage KM,Price USD,
1,Mercedes,2015,Petrol,Automatic,98489,18847,
2,Toyota,2013,Petrol,Manual,122065,22460,
3,Hyundai,2011,Hybrid,Manual,108665,59765,
4,Suzuki,2016,Electric,Automatic,56417,32137,
5,Kia,2014,Petrol,Automatic,125310,59270,
6,Mercedes,2020,Diesel,Automatic,164679,27791,
7,Hyundai,2024,Hybrid,Automatic,84410,6599,
8,Suzuki,2018,Hybrid,Manual,172810,37894,
9,Hyundai,2014,Diesel,Manual,7082,31827,
10,Kia,2016,Petrol,Automatic,49536,20178,
11,Toyota,2012,Electric,Automatic,60549,51535,
12,Toyota,2014,Hybrid,Manual,170410,40503,
13,Honda,2015,Electric,Automatic,37628,45123,
14,Honda,2012,Electric,Automatic,40360,28440,
15,Honda,2017,Electric,Manual,113965,48232,
16,BMW,2018,Diesel,Automatic,41771,37725,
17,Hyundai,2016,Electric,Automatic,168875,46493,
18,Suzuki,2014,Diesel,Manual,18186,51730,
19,Ford,2019,Electric,Manual,89035,51154,
20,Toyota,2017,Electric,Manual,108099,7425,
21,Suzuki,2010,Petrol,Automatic,77060,11727,
22,Ford,2022,Petrol,Manual,135789,43494,
23,Kia,2010,Diesel,Manual,168726,36206,
24,Honda,2019,Hybrid,Automatic,30734,45303,
25,Ford,2010,Hybrid,Automatic,138314,32047,
26,BMW,2021,Diesel,Automatic,140696,6532,
27,BMW,2014,Diesel,Manual,49511,16025,
28,Tesla,2022,Hybrid,Automatic,104807,59283,
29,Audi,2010,Electric,Manual,60180,59285,
30,Ford,2013,Hybrid,Automatic,47081,59730,
31,Mercedes,2017,Petrol,Manual,68212,46694,
32,Mercedes,2014,Diesel,Automatic,125479,9541,
33,Kia,2015,Electric,Automatic,47442,46471,
34,Tesla,2011,Diesel,Manual,41545,58455,
35,Suzuki,2012,Electric,Automatic,95362,15525,
36,Toyota,2021,Diesel,Automatic,42598,19734,
37,Tesla,2023,Diesel,Automatic,90719,27065,
38,Hyundai,2010,Petrol,Automatic,121394,45375,
39,Suzuki,2012,Hybrid,Automatic,155483,5790,
40,Toyota,2013,Petrol,Automatic,11505,43645,
41,Hyundai,2017,Electric,Manual,69266,45405,
42,Hyundai,2015,Hybrid,Automatic,31895,18434,
43,Kia,2022,Petrol,Automatic,86517,41886,
44,Toyota,2021,Diesel,Manual,102049,13669,
45,Mercedes,2010,Diesel,Automatic,138169,18382,
46,Audi,2014,Diesel,Automatic,105857,11549,
47,Mercedes,2016,Hybrid,Manual,124345,18571,
48,Ford,2019,Hybrid,Automatic,139711,20361,
49,BMW,2022,Hybrid,Manual,158454,46042,
50,Ford,2012,Petrol,Manual,128884,51686,
51,Kia,2024,Petrol,Manual,69908,59892,
52,Mercedes,2023,Petrol,Manual,166405,52724,
53,Kia,2019,Diesel,Manual,137983,45260,
54,Audi,2024,Electric,Automatic,71260,59454,
55,Audi,2024,Petrol,Automatic,48077,48813,
56,Mercedes,2013,Petrol,Automatic,21987,6987,
57,Tesla,2022,Petrol,Manual,58193,15532,
58,Toyota,2019,Diesel,Manual,113134,27804,
59,Tesla,2015,Electric,Manual,140678,54803,
60,Suzuki,2023,Petrol,Automatic,173405,57133,
61,Hyundai,2018,Petrol,Manual,157709,55473,
62,BMW,2011,Petrol,Automatic,147736,48399,
63,Tesla,2019,Diesel,Manual,156344,49976,
64,Kia,2022,Hybrid,Automatic,11096,43234,
65,Suzuki,2016,Electric,Manual,28363,34456,
66,Kia,2017,Petrol,Automatic,97864,33923,
67,Toyota,2019,Petrol,Manual,110378,52507,
68,Ford,2024,Electric,Automatic,21365,16507,
69,Tesla,2022,Hybrid,Automatic,73686,51099,
70,Mercedes,2013,Hybrid,Manual,150104,21209,
71,Toyota,2019,Electric,Automatic,125262,26002,
72,Audi,2013,Diesel,Automatic,44913,47724,
73,BMW,2016,Hybrid,Automatic,15072,22936,
74,Mercedes,2011,Hybrid,Manual,92266,40030,
75,Mercedes,2018,Diesel,Automatic,131717,15033,
76,Tesla,2019,Electric,Manual,138139,14158,
77,Suzuki,2018,Diesel,Manual,161106,34250,
78,Suzuki,2020,Hybrid,Manual,124669,5871,
79,Suzuki,2017,Petrol,Manual,87247,18027,
80,Honda,2020,Hybrid,Automatic,116653,22920,
81,Kia,2017,Hybrid,Manual,120456,31692,
82,Audi,2010,Diesel,Automatic,119215,53307,
83,Mercedes,2010,Diesel,Manual,42282,20448,
84,Toyota,2021,Diesel,Automatic,87394,37878,
85,Ford,2013,Petrol,Manual,133599,43891,
